"","female","edu","age","participation","sexism"
"1",0,2,23,0,0.625
"2",1,2,38,0,0.4375
"3",0,1,58,2,0.625
"4",1,3,30,1,0.5
"5",1,3,86,NA,0.375
"6",0,4,67,5,0.5
"7",1,6,62,1,0
"8",0,2,51,1,0.8125
"9",0,6,46,6,0.5
"10",1,6,30,2,0.0625
"11",0,6,73,2,0.0625
"12",1,6,35,1,0.1875
"13",0,6,67,1,0.375
"14",1,2,59,NA,0.5625
"15",0,1,48,1,0.75
"16",1,3,26,1,0.25
"17",1,5,46,2,0.5
"18",1,5,52,2,0.0625
"19",0,NA,45,1,0.5
"20",0,1,64,NA,0.5
"21",1,4,43,NA,NA
"22",1,6,61,1,0.25
"23",1,6,35,1,NA
"24",1,4,24,2,0.125
"25",0,5,61,1,0.6875
"26",1,5,52,0,0
"27",0,3,68,1,0.5625
"28",1,3,76,0,0.4375
"29",1,2,47,NA,0.875
"30",1,4,68,NA,0.1875
"31",0,6,57,4,0
"32",0,4,45,3,0.3125
"33",1,1,50,1,0.9375
"34",1,6,68,1,0.5625
"35",0,3,60,1,0.3125
"36",1,5,36,4,0.0625
"37",1,1,27,0,0.5
"38",0,3,35,7,0.6875
"39",1,2,78,1,0.75
"40",0,2,55,2,0.5625
"41",1,5,69,1,0.4375
"42",0,5,55,1,0.3125
"43",0,5,31,1,0.4375
"44",0,6,68,2,0.3125
"45",1,4,42,0,0.6875
"46",0,2,48,NA,NA
"47",0,3,30,2,0.5
"48",0,1,68,NA,0.875
"49",1,5,36,1,0.125
"50",1,5,47,1,0.1875
"51",1,5,26,6,0
"52",1,1,83,2,0.6875
"53",0,5,51,4,0.1875
"54",1,4,68,2,0.4375
"55",0,2,23,1,0.4375
"56",0,3,19,0,0.5
"57",0,2,30,1,0.6875
"58",0,5,54,1,0.5625
"59",1,2,38,0,0.5
"60",1,5,33,2,0
"61",0,2,81,0,0.3125
"62",1,NA,51,1,0.3125
"63",1,2,75,1,0.6875
"64",0,5,43,1,0.1875
"65",0,5,58,1,0.25
"66",1,5,36,1,0.0625
"67",1,6,59,3,0.0625
"68",0,2,57,NA,0.5
"69",0,1,60,1,0.5
"70",0,5,45,2,0.125
"71",1,5,72,1,0.5625
"72",0,5,36,3,0.5
"73",0,1,86,0,0.625
"74",NA,5,55,1,0.3125
"75",0,2,68,1,0.5625
"76",0,5,69,1,0.5625
"77",1,3,42,1,0.3125
"78",1,6,76,1,0.3125
"79",1,5,31,2,0
"80",0,1,52,NA,0.9375
"81",0,5,35,2,0.25
"82",0,2,25,2,0.375
"83",1,6,52,2,NA
"84",1,3,65,1,0.4375
"85",1,6,37,3,0.0625
"86",1,2,66,1,0.5625
"87",1,2,57,2,0.9375
"88",0,4,24,1,0.4375
"89",0,5,43,2,0.375
"90",1,2,42,1,0.4375
"91",1,3,57,1,0.4375
"92",1,1,30,1,0.25
"93",0,1,69,NA,0.375
"94",1,2,19,4,0.125
"95",0,2,44,1,0.4375
"96",0,3,67,1,0.3125
"97",1,5,41,1,0.5625
"98",0,2,50,1,0.375
"99",1,2,23,2,0.9375
"100",0,5,25,1,0.3125
"101",1,6,76,6,0.0625
"102",1,4,67,0,0.125
"103",1,6,35,4,0.0625
"104",0,5,25,5,0
"105",0,4,67,1,0.5625
"106",1,6,54,7,0.125
"107",1,4,NA,1,0.3125
"108",1,3,76,1,NA
"109",0,3,20,1,0.5625
"110",0,5,24,1,0.5
"111",0,3,24,2,0
"112",1,1,63,0,0.125
"113",0,6,51,1,0.1875
"114",1,4,50,NA,0.5
"115",1,3,63,3,0.4375
"116",0,NA,88,NA,0.5625
"117",1,5,25,5,0.0625
"118",1,5,72,1,0.375
"119",1,6,60,2,0.3125
"120",0,2,22,0,0.625
"121",1,2,23,0,0.75
"122",0,2,38,1,0.875
"123",1,3,19,1,0.1875
"124",NA,2,90,NA,NA
"125",1,3,31,NA,0.125
"126",1,6,26,2,0.1875
"127",1,5,63,2,0.3125
"128",0,1,77,0,0.6875
"129",0,2,28,0,0.5
"130",1,6,NA,NA,0.375
"131",0,4,50,1,0.5
"132",1,2,71,0,0.4375
"133",1,1,90,1,0.5
"134",1,2,34,1,0.5
"135",1,2,49,1,0.1875
"136",0,3,27,1,0.4375
"137",0,2,24,1,0.5625
"138",0,1,56,0,0.625
"139",0,2,78,3,0.75
"140",0,5,71,4,0.75
"141",0,1,76,1,0.5625
"142",1,1,24,0,1
"143",0,2,25,NA,0.4375
"144",1,5,48,2,0.125
"145",0,2,39,NA,0.75
"146",1,5,50,3,0.125
"147",1,2,36,2,0.125
"148",0,6,58,2,0.6875
"149",0,6,30,1,0.25
"150",1,5,52,1,0.1875
"151",0,5,23,3,0.0625
"152",1,5,45,NA,0.375
"153",1,4,72,1,0.5
"154",1,2,59,1,0.1875
"155",1,1,57,0,1
"156",0,4,35,2,0.1875
"157",1,5,40,1,0.3125
"158",1,5,55,3,0.0625
"159",0,4,NA,3,0.5
"160",1,6,58,3,0.3125
"161",1,2,58,NA,0.5
"162",1,2,47,0,0.5625
"163",1,5,59,1,0.125
"164",0,4,84,0,0.3125
"165",0,6,48,NA,0
"166",1,5,47,1,0.5625
"167",0,6,60,1,0.125
"168",0,3,30,1,0.0625
"169",1,2,49,NA,0.375
"170",1,5,23,3,0
"171",1,5,39,1,0.4375
"172",0,6,61,2,0.5625
"173",1,4,40,1,0.125
"174",1,6,31,1,0.375
"175",1,2,66,0,0.5
"176",0,1,59,1,0.5
"177",0,1,58,1,0.6875
"178",1,6,37,1,0.0625
"179",0,6,36,3,0.125
"180",1,5,58,1,0.5
"181",NA,5,35,1,NA
"182",0,4,75,1,0.625
"183",1,5,50,1,0.5625
"184",1,6,38,2,0.25
"185",1,4,37,1,0.5
"186",1,5,76,8,0.0625
"187",1,4,66,1,0.375
"188",1,4,42,6,0.0625
"189",1,5,33,1,0.3125
"190",1,4,52,4,0.125
"191",0,2,52,0,0.75
"192",0,5,35,1,0.3125
"193",1,5,61,1,0.1875
"194",0,1,54,1,0.625
"195",0,1,72,1,0.5
"196",1,6,56,NA,0.25
"197",0,3,80,4,0.75
"198",0,3,52,3,0.5
"199",0,3,28,0,0.5
"200",1,6,47,1,0.5625
"201",1,4,73,1,0.3125
"202",1,3,27,NA,0
"203",1,2,41,1,0
"204",0,NA,75,0,0.5
"205",1,3,45,0,0.3125
"206",0,3,58,NA,0.5
"207",1,5,67,2,0.1875
"208",1,5,42,1,0.375
"209",1,6,36,2,0.0625
"210",1,2,21,1,0.375
"211",0,5,35,5,0
"212",1,5,66,0,NA
"213",1,2,68,2,0.1875
"214",1,6,71,NA,0.5
"215",0,1,20,NA,NA
"216",0,2,55,NA,0.75
"217",1,3,26,1,0.5625
"218",0,4,65,NA,0.6875
"219",1,5,40,NA,0.5
"220",1,6,42,1,0.1875
"221",1,5,46,1,0
"222",1,2,45,0,0.4375
"223",1,2,NA,1,0.5
"224",1,5,43,1,0.3125
"225",1,6,46,2,0
"226",0,2,36,0,0.6875
"227",1,5,67,0,0.875
"228",1,2,65,1,0.75
"229",1,3,45,1,0.625
"230",0,5,40,2,0.3125
"231",1,3,76,1,0.8125
"232",1,6,69,5,0.25
"233",0,3,68,1,0.5625
"234",NA,5,43,1,0
