"","race","call"
"1","white",0
"2","white",0
"3","black",0
"4","black",0
"5","white",0
"6","white",0
"7","white",0
"8","black",0
"9","black",0
"10","black",0
"11","black",0
"12","white",0
"13","black",0
"14","white",0
"15","black",0
"16","white",0
"17","white",0
"18","black",0
"19","white",0
"20","black",0
"21","black",0
"22","white",0
"23","white",0
"24","white",0
"25","white",0
"26","black",0
"27","black",0
"28","white",0
"29","black",0
"30","black",0
"31","white",0
"32","black",0
"33","white",0
"34","black",0
"35","white",0
"36","white",0
"37","black",0
"38","black",0
"39","black",0
"40","white",0
"41","white",0
"42","black",0
"43","white",0
"44","white",0
"45","black",0
"46","black",0
"47","white",0
"48","black",0
"49","white",0
"50","black",0
"51","black",0
"52","white",0
"53","white",0
"54","black",0
"55","white",0
"56","black",0
"57","white",0
"58","black",0
"59","white",0
"60","black",0
"61","black",0
"62","white",0
"63","white",0
"64","white",0
"65","black",0
"66","black",0
"67","black",0
"68","white",0
"69","black",0
"70","white",0
"71","white",0
"72","black",0
"73","black",0
"74","white",0
"75","white",0
"76","black",0
"77","white",0
"78","black",0
"79","black",0
"80","white",0
"81","black",0
"82","white",0
"83","white",0
"84","black",0
"85","black",0
"86","white",1
"87","white",0
"88","black",0
"89","white",0
"90","white",0
"91","black",0
"92","white",0
"93","black",0
"94","black",0
"95","black",0
"96","white",1
"97","black",0
"98","white",0
"99","black",0
"100","white",0
"101","black",0
"102","white",0
"103","black",0
"104","white",0
"105","white",0
"106","white",1
"107","black",0
"108","black",1
"109","black",0
"110","white",0
"111","white",0
"112","black",0
"113","white",0
"114","black",0
"115","white",0
"116","black",0
"117","white",0
"118","black",0
"119","black",0
"120","white",0
"121","black",0
"122","white",0
"123","white",0
"124","white",0
"125","black",0
"126","black",0
"127","black",1
"128","white",1
"129","black",0
"130","white",0
"131","white",0
"132","black",0
"133","white",0
"134","black",0
"135","white",0
"136","white",0
"137","black",0
"138","black",0
"139","black",0
"140","white",0
"141","white",0
"142","black",0
"143","black",0
"144","white",0
"145","black",0
"146","white",0
"147","white",0
"148","white",0
"149","black",0
"150","black",0
"151","white",0
"152","black",0
"153","white",0
"154","black",0
"155","black",0
"156","white",0
"157","black",0
"158","white",0
"159","black",0
"160","black",0
"161","white",0
"162","black",0
"163","white",0
"164","white",0
"165","white",0
"166","white",1
"167","black",0
"168","black",0
"169","white",1
"170","white",0
"171","black",0
"172","black",1
"173","black",0
"174","white",0
"175","white",0
"176","white",0
"177","white",0
"178","white",0
"179","white",0
"180","white",0
"181","black",0
"182","white",0
"183","white",0
"184","white",0
"185","black",0
"186","black",0
"187","black",0
"188","black",0
"189","black",0
"190","black",0
"191","black",0
"192","white",0
"193","white",0
"194","black",0
"195","white",0
"196","white",0
"197","black",0
"198","black",0
"199","black",0
"200","black",0
"201","black",1
"202","white",1
"203","white",0
"204","black",0
"205","white",0
"206","black",0
"207","white",0
"208","black",0
"209","black",0
"210","white",0
"211","white",1
"212","black",0
"213","black",0
"214","white",0
"215","white",0
"216","white",0
"217","black",0
"218","black",0
"219","black",0
"220","white",0
"221","white",0
"222","white",0
"223","black",0
"224","black",0
"225","black",0
"226","white",0
"227","black",0
"228","white",0
"229","white",0
"230","white",0
"231","black",0
"232","black",0
"233","white",0
"234","white",0
"235","black",0
"236","black",0
"237","black",0
"238","white",0
"239","white",0
"240","black",0
"241","black",0
"242","white",0
"243","black",0
"244","white",0
"245","black",0
"246","white",0
"247","white",0
"248","white",1
"249","black",0
"250","black",0
"251","white",0
"252","black",0
"253","white",0
"254","black",0
"255","black",0
"256","white",0
"257","black",0
"258","white",0
"259","white",0
"260","black",1
"261","white",0
"262","black",0
"263","white",0
"264","black",0
"265","white",0
"266","black",0
"267","white",0
"268","white",1
"269","black",0
"270","black",1
"271","white",1
"272","black",1
"273","white",1
"274","black",0
"275","black",0
"276","white",0
"277","white",0
"278","white",0
"279","black",0
"280","black",0
"281","black",0
"282","white",0
"283","white",0
"284","white",0
"285","black",0
"286","black",0
"287","black",0
"288","black",0
"289","white",0
"290","white",0
"291","black",0
"292","white",0
"293","white",0
"294","white",0
"295","black",0
"296","black",0
"297","white",0
"298","white",0
"299","black",0
"300","black",0
"301","white",0
"302","white",0
"303","black",0
"304","black",0
"305","black",0
"306","white",0
"307","black",0
"308","white",0
"309","white",0
"310","black",0
"311","white",0
"312","white",0
"313","black",0
"314","black",0
"315","white",0
"316","black",0
"317","white",0
"318","white",0
"319","black",0
"320","black",0
"321","black",0
"322","white",0
"323","black",0
"324","white",0
"325","white",0
"326","white",0
"327","black",0
"328","white",0
"329","black",0
"330","black",0
"331","white",0
"332","black",0
"333","white",0
"334","white",0
"335","black",0
"336","black",0
"337","white",0
"338","black",0
"339","black",0
"340","white",0
"341","white",0
"342","black",0
"343","white",0
"344","white",0
"345","black",0
"346","black",0
"347","white",0
"348","black",0
"349","white",1
"350","black",0
"351","white",0
"352","white",0
"353","black",0
"354","black",0
"355","black",0
"356","black",0
"357","white",0
"358","white",0
"359","white",0
"360","black",0
"361","white",0
"362","white",0
"363","white",0
"364","white",0
"365","black",0
"366","white",0
"367","black",0
"368","black",0
"369","black",0
"370","black",0
"371","black",0
"372","white",0
"373","white",0
"374","white",0
"375","black",0
"376","black",0
"377","white",0
"378","black",0
"379","white",0
"380","black",0
"381","black",0
"382","white",0
"383","white",1
"384","black",1
"385","white",0
"386","black",0
"387","white",0
"388","black",0
"389","white",1
"390","black",0
"391","white",0
"392","black",0
"393","white",0
"394","black",0
"395","black",0
"396","white",0
"397","white",0
"398","black",0
"399","white",0
"400","white",0
"401","black",0
"402","black",0
"403","white",0
"404","black",0
"405","white",0
"406","black",0
"407","white",0
"408","black",0
"409","black",0
"410","white",0
"411","white",0
"412","black",0
"413","black",0
"414","white",1
"415","white",0
"416","black",0
"417","black",0
"418","white",0
"419","white",0
"420","black",0
"421","white",0
"422","black",0
"423","white",0
"424","black",0
"425","white",0
"426","white",0
"427","black",1
"428","black",1
"429","white",0
"430","black",0
"431","white",0
"432","black",0
"433","white",0
"434","white",0
"435","black",0
"436","black",0
"437","white",0
"438","white",0
"439","black",0
"440","black",0
"441","white",0
"442","black",0
"443","white",1
"444","black",0
"445","black",0
"446","white",0
"447","black",0
"448","white",1
"449","white",0
"450","white",0
"451","black",0
"452","black",0
"453","black",0
"454","white",0
"455","black",0
"456","white",0
"457","white",0
"458","white",0
"459","black",0
"460","black",0
"461","white",0
"462","white",0
"463","black",0
"464","black",0
"465","black",0
